Universe,Year,IC_1d,IC_3d,IC_5d,IC_10d,IC_20d
SP500,2010,0.013616494623751117,-0.08673875035108192,-0.08154407603979075,-0.056618168300239594,-0.08156305766947818
SP500,2011,0.021840608977479505,-0.046047323036588365,0.0048503173388503885,-0.008546364360064083,0.0505005594909268
SP500,2012,0.067041413695196,0.09402218095300684,0.11432317347009359,0.1395144973649681,0.12007591429228366
SP500,2013,-0.012601227261924763,-0.0009506515469533138,0.06593134206947848,0.03221206800912686,0.09908459155525477
SP500,2014,0.050955745282426745,0.11191867136993319,0.08930116737364334,0.08159962862244093,0.10231104305669954
SP500,2015,0.027450575566115937,0.02155613021269846,0.048211015722738546,0.0721423812792563,0.080248747379284
SP500,2016,0.01774123264111795,0.08765300616020844,0.030628743570246256,0.03526422191823861,0.12095862143620642
SP500,2017,0.023912705775943646,0.10955854011524735,0.09830640828680545,0.06935185153425406,0.11470291641098969
SP500,2018,0.046616630497750555,-0.02211046339121185,-0.07649919535732995,0.015577842676975545,0.034639952355198254
SP500,2019,0.03350790513527564,0.09544477120394453,0.05154139537090999,0.10780915709177807,0.12326746371474882
SP500,2020,0.07669544408358256,0.08360402337880675,0.05245962568403842,0.07901688938872824,-0.0678049668917249
SP500,2021,0.02082657500650487,-0.044108837530685396,-0.037156629025382866,-0.01981351587363156,0.011414858451244455
SP500,2022,0.02575869356696189,0.03320113761318633,0.010441951759341544,0.01366875892917155,0.051731327941344774
SP500,2023,0.04145001682930333,0.02172959572582349,0.019122641667433687,-0.03741151516961636,0.0275061417528143
SP500,2024,0.01763524060968186,0.025097205144214874,-0.021119361825815332,0.02107949409540495,0.018891099379782582
SP500,2025,0.03627267773889382,0.042041554033992,-0.0029387231667899953,-0.005095051626343089,-0.014299526895362102
SP500,2026,-0.0010638767175151305,0.01938765720980412,-0.05780735111387986,-0.026213653603034136,-0.04288966602185191
SP1500,2010,0.03896935637713757,0.04703438830493655,0.018151680296013037,-0.007866289321021873,-0.07764736896765734
SP1500,2011,0.013651784352481254,-0.015841254458304425,0.022265408703476146,-0.025134390353677923,0.012112323159609455
