Universe,Period,Net Sharpe,Gross Sharpe,Max Drawdown,Avg Turnover,N Events
SP500,Full,-1.197,-0.943,-51.0%,99.8%,12403
SP500,COVID era,-0.781,-0.558,-32.7%,100.0%,5724
SP500,Post-2022,-1.725,-1.43,-35.5%,99.6%,6679
SP1500,Full,-0.025,0.136,-59.5%,99.9%,35887
SP1500,COVID era,0.063,0.189,-59.5%,100.0%,16497
SP1500,Post-2022,-0.175,0.066,-31.7%,99.9%,19390
RU3K,Full,0.567,0.704,-54.3%,100.0%,67981
RU3K,COVID era,0.904,1.048,-48.7%,99.9%,29706
RU3K,Post-2022,0.302,0.432,-36.3%,100.0%,38275
