Universe,Horizon,Long Sharpe,Short Sharpe,L/S Sharpe,Long CAGR,Short CAGR,L/S CAGR,N events
SP500,5d,0.439,-0.756,-0.292,8.1%,-20.7%,-12.9%,9621
SP500,10d,0.25,-0.275,-0.042,3.1%,-11.5%,-5.9%,9555
SP500,20d,0.524,-0.016,0.513,12.0%,-4.8%,11.8%,9216
SP1500,5d,0.269,-0.394,-0.393,3.7%,nan%,nan%,21791
SP1500,10d,0.483,-0.285,0.068,9.5%,-18.7%,-7.4%,21600
SP1500,20d,0.447,-0.359,-0.029,9.5%,nan%,nan%,20847
RU3K proxy,5d,0.429,0.094,0.435,85.6%,-4.4%,86.0%,9567
RU3K proxy,10d,0.339,0.172,0.353,52.5%,-0.4%,59.3%,9430
RU3K proxy,20d,0.694,0.147,0.735,24.0%,-1.0%,28.2%,9151
